user,trip,overspeed,accel,decel,stop,start,dist,,,,,,
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1601975492898 ,805,40,8,1,2,31575.803,,805,51,,25.49420517,1.615160824
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1602023718652 ,637,45,19,2,5,31306.479,,637,71,,20.34722589,2.267901159
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1598012170978 ,105,11,2,0,4,11952.627,,105,17,,8.784679719,1.422281478
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1598164412258 ,84,30,27,1,14,111100.7,,84,72,,0.756070844,0.648060723
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1598267071719 ,7231,8,1,0,8,11920.542,,7231,17,,606.5999348,1.426109652
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1598352369658 ,298,9,3,1,4,11486.127,,298,17,,25.94434138,1.48004632
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1598434780419 ,98,19,2,1,5,12822.222,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1598523501726 ,98,4,2,1,7,11797.343,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1598824108140 ,141,18,0,1,3,10235,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1598867209978 ,127,16,3,0,10,14693.221,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1598910982797 ,117,16,0,0,5,10091.954,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1598954037975 ,494,8,1,0,7,10312.491,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1598997207035 ,155,13,1,0,4,10628.027,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599041049068 ,368,11,0,1,2,10588.329,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599083539168 ,71,10,0,0,3,10166.694,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599138055771 ,99,8,2,0,4,13626.637,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599168987276 ,4251,9,0,0,3,10473.049,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599228856924 ,104,7,0,0,5,10249.851,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599258858529 ,105,17,1,0,4,10135.254,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599277339437 ,1155,12,2,0,9,10438.607,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599377373770 ,27,8,2,0,5,23969.947,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599381413518 ,525,18,2,0,6,23599.592,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599428913597 ,58,7,2,0,6,10091.948,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599471888942 ,611,11,2,1,7,10730.45,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599515860015 ,151,11,1,0,3,10215.704,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599558608558 ,170,7,2,1,6,10369.188,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599602181662 ,131,11,3,0,5,10138.203,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599622261945 ,139,14,3,0,1,11542.35,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599645020956 ,133,16,1,1,6,12278.16,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599688184731 ,90,16,2,0,6,10096.795,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599774780192 ,164,18,4,1,8,10294.591,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599828052918 ,156,9,0,0,6,10614.57,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599901310753 ,627,18,3,1,3,14060.121,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599910922709 ,143,13,1,0,8,12861.939,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599964246167 ,201,10,3,0,4,21947.209,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1599974789340 ,120,9,1,0,3,15695.255,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600034538087 ,107,10,2,2,7,10030.958,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600080481092 ,89,12,0,1,5,10083.769,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600119850511 ,169,13,1,0,4,10392.628,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600162493781 ,1299,14,0,0,6,12481.224,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600207227009 ,153,10,0,0,7,10024.439,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600252193376 ,295,7,1,1,1,10055.81,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600293323391 ,551,6,1,0,8,10020.274,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600339478268 ,135,15,5,0,6,13668.427,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600565806307 ,76,16,0,1,4,25592.516,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600595299986 ,164,14,3,1,6,26314.531,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600638770325 ,11315,15,1,0,6,11079.575,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600684791736 ,79,9,1,2,3,10178.737,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600724895906 ,517,9,0,0,3,10120.559,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600769388053 ,75,9,1,0,11,12475.812,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600811629379 ,121,7,1,0,5,10717.592,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600856006204 ,118,11,7,0,5,10183.339,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1600941920501 ,220,7,1,0,6,10197.906,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601028454130 ,2968,14,2,2,8,12803.648,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601089243829 ,130,19,7,2,13,31935.2,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601113232020 ,85,1,2,0,1,25529.54,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601336567580 ,271,17,17,1,12,147556.33,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601356073133 ,132,35,12,2,14,301738.53,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601430731735 ,106,8,4,2,10,11451.375,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601437869334 ,133,7,0,0,2,10637.956,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601603965733 ,88,15,4,0,8,19406.25,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601615851815 ,81,10,5,0,8,18926.2,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601698006928 ,40,36,8,2,8,420641.8,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601722933941 ,74,17,4,1,5,65886.8,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601774423320 ,116,13,4,0,10,43761.78,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601781350905 ,93,9,4,1,5,31028.44,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601801335494 ,130,25,7,1,9,50816.45,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601894147430 ,141,17,2,1,5,13170.148,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1601990456128 ,567,4,2,0,4,10192.102,,,,,,
3FHmOXihz2TVvTbIFQKQVuSJnhk2,1602021670209 ,78,19,3,0,1,10008.186,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1597818724757 ,1470,122,58,10,46,86936.85,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1597904203124 ,1235,134,29,11,53,80557.68,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1597991165013 ,2082,13,2,2,5,19841.168,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1597999980969 ,330,72,24,5,24,74164.09,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598060182313 ,475,11,5,2,5,13834.575,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598072810669 ,1073,24,6,0,4,17664.055,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598078157083 ,1773,74,27,11,30,64215.4,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598235941143 ,1307,50,28,6,16,90744.07,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598251543006 ,2127,61,17,7,17,32160.521,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598261255675 ,495,49,15,5,30,36406.47,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598336014428 ,313,134,50,22,59,87370.38,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598422683946 ,665,142,53,18,57,72919.125,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598509005456 ,1130,113,38,14,52,61927.68,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598595263348 ,652,56,16,3,18,34668.996,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598606633300 ,884,23,3,2,10,14272.4795,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598677782263 ,665,53,20,5,21,31806.408,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598684586794 ,1209,57,19,8,20,32174.621,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598855110716 ,1198,140,48,17,55,104202.89,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598881881650 ,181,15,6,2,4,33989.23,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598941172096 ,450,50,15,2,26,32898.816,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1598950923054 ,1033,59,18,4,25,35084.01,,,,,,
