"User","Trip","Speeding"
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1599917917123,4554
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1598313916509,142
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1600301624107,190
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1601400170632,3268
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1598572563769,128
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1600819584837,187
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1598427989680,141
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1601217506410,708
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1598355801618,182
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1600849827557,150
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1600042802888,197
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1600941376625,195
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1598096192280,197
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1600769353827,119
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1599436818910,188
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1601102893640,2322
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1601293198517,118
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1599647072756,183
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1598055357027,1485
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1598227819739,158
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1599560772361,153
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1601068877677,138
"0WVbkZqJA0gKSdTFxvTHBoLIov02",1599851947612,4833
"1gQ03xU6GafMxm4nEgs42w1c00r2",1599892806262,63
"1gQ03xU6GafMxm4nEgs42w1c00r2",1598264602312,134
"1gQ03xU6GafMxm4nEgs42w1c00r2",1601523991399,715
"1gQ03xU6GafMxm4nEgs42w1c00r2",1600980108867,3879
"1gQ03xU6GafMxm4nEgs42w1c00r2",1599302837272,300
"1gQ03xU6GafMxm4nEgs42w1c00r2",1601528720861,169
"1gQ03xU6GafMxm4nEgs42w1c00r2",1600599384276,136
"1gQ03xU6GafMxm4nEgs42w1c00r2",1601789144966,3337
"1gQ03xU6GafMxm4nEgs42w1c00r2",1598274633502,253
"1gQ03xU6GafMxm4nEgs42w1c00r2",1600474085754,3952
"1gQ03xU6GafMxm4nEgs42w1c00r2",1601100975283,1285
"1gQ03xU6GafMxm4nEgs42w1c00r2",1600579471974,182
"1gQ03xU6GafMxm4nEgs42w1c00r2",1598662585366,313
"1gQ03xU6GafMxm4nEgs42w1c00r2",1601084123646,792
"1gQ03xU6GafMxm4nEgs42w1c00r2",1600992801655,3773
"1gQ03xU6GafMxm4nEgs42w1c00r2",1601770945690,3504
"1gQ03xU6GafMxm4nEgs42w1c00r2",1600498017766,3270
"1gQ03xU6GafMxm4nEgs42w1c00r2",1599281755679,884
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1600382497957,532
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1597876583674,645
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599968212422,2216
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598051469010,926
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599562414581,210
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598394584524,388
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598000798567,374
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598655903718,815
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601158059293,1308
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598611350678,451
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1600727625408,569
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598306917369,584
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601850578479,541
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599086194833,441
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1597962535299,637
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598704064809,937
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598481550214,503
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601729003286,725
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601075476939,904
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598433108354,550
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601332727070,562
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599291353820,5986
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601114734534,651
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1600470192422,814
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599344180594,259
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601372702976,622
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599124049210,769
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601285999687,181
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598346168120,518
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598221565829,667
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599556022929,315
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599173609034,439
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601936687782,225
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599865689690,937
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1600036443239,552
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599690597632,440
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598518963955,641
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598260007949,656
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598684740034,1066
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1602023718652,551
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599815125328,313
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599894472273,544
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601715885077,693
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1600420519262,315
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599978781238,3278
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1600938468307,290
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599037468520,346
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599777555482,560
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599518018469,583
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601029574483,71
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1600247204480,529
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599275364691,1335
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599261190318,3958
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601500501155,344
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1600813901779,473
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1600553223715,654
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598999970366,211
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1600678967898,436
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601104040411,1262
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599948502970,4963
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601121242990,2009
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599210355437,358
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601888725022,518
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1600900093850,631
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598826996066,431
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601975492898,357
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1600499466420,571
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599284882678,2062
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1600639943218,414
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601389703841,633
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598080323027,632
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1598863699065,682
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1599279813547,1477
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1597914229775,805
"3e2AcrqFVHVKlMho7MD4ND9eaPv2",1601382500018,637
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599228856924,105
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599622261945,84
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601356073133,7231
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601113232020,298
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599258858529,98
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599602181662,98
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599828052918,141
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600162493781,127
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600207227009,117
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600595299986,494
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601028454130,155
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601603965733,368
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599083539168,71
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599168987276,99
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601336567580,4251
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600119850511,104
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1598824108140,105
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601774423320,1155
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1598012170978,27
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600565806307,525
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599277339437,58
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601781350905,611
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1598267071719,151
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599974789340,170
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600080481092,131
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600252193376,139
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599138055771,133
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601430731735,90
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1598523501726,164
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601615851815,156
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601801335494,627
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600684791736,143
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599901310753,201
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599041049068,120
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600724895906,107
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600034538087,89
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601894147430,169
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601722933941,1299
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600769388053,153
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600339478268,295
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601089243829,551
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601437869334,135
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601990456128,76
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599645020956,164
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1601698006928,11315
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599515860015,79
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599377373770,517
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1600811629379,75
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1599558608558,121
"3FHmOXihz2TVvTbIFQKQVuSJnhk2",1598434780419,118
